id,name,branch,location
305,Chiang Mai University,Electronics and Communications Engineering,Thailand
306,Chiang Mai University,Mechanical Engineering,Thailand
307,Chiang Mai University,Electrical Engineering,Thailand
308,Chiang Mai University,Civil Engineering,Thailand
309,Kasetsart University,Computer Science Engineering,Thailand
310,Kasetsart University,Computer Engineering,Thailand
311,Kasetsart University,Information Technology,Thailand
312,Kasetsart University,Electronics and Communications Engineering,Thailand
313,Kasetsart University,Mechanical Engineering,Thailand
314,Kasetsart University,Electrical Engineering,Thailand
315,Kasetsart University,Civil Engineering,Thailand
316,Thammasat University,Computer Science Engineering,Thailand
317,Thammasat University,Computer Engineering,Thailand
318,Thammasat University,Information Technology,Thailand
319,Thammasat University,Electronics and Communications Engineering,Thailand
320,Thammasat University,Mechanical Engineering,Thailand
321,Thammasat University,Electrical Engineering,Thailand
322,Thammasat University,Civil Engineering,Thailand
323,Srinakharinwirot University,Computer Science Engineering,Thailand
324,Srinakharinwirot University,Computer Engineering,Thailand
325,Srinakharinwirot University,Information Technology,Thailand
326,Srinakharinwirot University,Electronics and Communications Engineering,Thailand
327,Srinakharinwirot University,Mechanical Engineering,Thailand
328,Srinakharinwirot University,Electrical Engineering,Thailand
329,Srinakharinwirot University,Civil Engineering,Thailand
330,King Mongkut's University of Technology North Bangkok,Computer Science Engineering,Thailand
331,King Mongkut's University of Technology North Bangkok,Computer Engineering,Thailand
332,King Mongkut's University of Technology North Bangkok,Information Technology,Thailand
333,King Mongkut's University of Technology North Bangkok,Electronics and Communications Engineering,Thailand
334,King Mongkut's University of Technology North Bangkok,Mechanical Engineering,Thailand
335,King Mongkut's University of Technology North Bangkok,Electrical Engineering,Thailand
336,King Mongkut's University of Technology North Bangkok,Civil Engineering,Thailand
337,Rajamangala University of Technology Thanyaburi,Computer Science Engineering,Thailand
338,Rajamangala University of Technology Thanyaburi,Computer Engineering,Thailand
339,Rajamangala University of Technology Thanyaburi,Information Technology,Thailand
340,Rajamangala University of Technology Thanyaburi,Electronics and Communications Engineering,Thailand
341,Rajamangala University of Technology Thanyaburi,Mechanical Engineering,Thailand
342,Rajamangala University of Technology Thanyaburi,Electrical Engineering,Thailand
343,Rajamangala University of Technology Thanyaburi,Civil Engineering,Thailand
344,Assumption University,Computer Science Engineering,Thailand
345,Assumption University,Computer Engineering,Thailand
346,Assumption University,Information Technology,Thailand
347,Assumption University,Electronics and Communications Engineering,Thailand
348,Assumption University,Mechanical Engineering,Thailand
349,Assumption University,Electrical Engineering,Thailand
350,Assumption University,Civil Engineering,Thailand
351,Bangkok University,Computer Science Engineering,Thailand
352,Bangkok University,Computer Engineering,Thailand
353,Bangkok University,Information Technology,Thailand
354,Bangkok University,Electronics and Communications Engineering,Thailand
355,Bangkok University,Mechanical Engineering,Thailand
356,Bangkok University,Electrical Engineering,Thailand
357,Bangkok University,Civil Engineering,Thailand
358,Khon Kaen University,Computer Science Engineering,Thailand
359,Khon Kaen University,Computer Engineering,Thailand
360,Khon Kaen University,Information Technology,Thailand
361,Khon Kaen University,Electronics and Communications Engineering,Thailand
362,Khon Kaen University,Mechanical Engineering,Thailand
363,Khon Kaen University,Electrical Engineering,Thailand
364,Khon Kaen University,Civil Engineering,Thailand
365,Mae Fah Luang University,Computer Science Engineering,Thailand
366,Mae Fah Luang University,Computer Engineering,Thailand
367,Mae Fah Luang University,Information Technology,Thailand
368,Mae Fah Luang University,Electronics and Communications Engineering,Thailand
369,Mae Fah Luang University,Mechanical Engineering,Thailand
370,Mae Fah Luang University,Electrical Engineering,Thailand
371,Mae Fah Luang University,Civil Engineering,Thailand
372,Nakhon Ratchasima Rajabhat University,Computer Science Engineering,Thailand
373,Nakhon Ratchasima Rajabhat University,Computer Engineering,Thailand
374,Nakhon Ratchasima Rajabhat University,Information Technology,Thailand
375,Nakhon Ratchasima Rajabhat University,Electronics and Communications Engineering,Thailand
376,Nakhon Ratchasima Rajabhat University,Mechanical Engineering,Thailand
377,Nakhon Ratchasima Rajabhat University,Electrical Engineering,Thailand
378,Nakhon Ratchasima Rajabhat University,Civil Engineering,Thailand
379,Ubon Ratchathani University,Computer Science Engineering,Thailand
380,Ubon Ratchathani University,Computer Engineering,Thailand
